titulo,parrafo
7 World Trade Center,"['\n\n\n', ' (', ', ', ', or ', ') refers to two buildings that have existed at the same location within the ', ' in ', ', ', '. The original structure, part of the ', ', was completed in 1987 and was destroyed in the ', ' in 2001. The current structure opened in May 2006. Both buildings were developed by ', ', who holds a ', ' for the site from the ']"
"Hebron Church (Intermont, West Virginia)","['\n\n', ' (also historically known as ', ', ', ', and ', ') is a mid-19th-century ', ' church in ', ', ', ', in the U.S. state of ', '. Hebron Church was founded in 1786 by ', ' in the ', ' Valley, making it the first Lutheran church west of the ', '. The congregation worshiped in a ', ', which initially served both Lutheran and ', "" denominations. Its congregation was originally German-speaking; the church's documents and religious services were in German until 1821, when records and sermons transitioned to English.\n"", ""The church's congregation built the present "", '-style ', '-story church building in 1849, when it was renamed Hebron on the Cacapon. The original log church was moved across the road and subsequently used as a ', ', ', ' classroom, and public schoolhouse (attended by future West Virginia governor ', ').\n', ""To celebrate the congregation's 175th anniversary in 1961, Hebron Church constructed a brick community and religious education building designed to be architecturally compatible with the 1849 brick church. As of October 2015, the church continues to be used by the ""]"
Harry F. Sinclair House,"['\n\n', 'The ', ' is a mansion at the southeast corner of ', ' and ', ' on the ', ' of ', ' in ', '. The house was built between 1897 and 1899. Over the first half of the 20th century, the house was successively the residence of businessmen ', ' and ', ', and then the descendants of ', ', the last ', '. The Ukrainian Institute of America acquired the home in 1955. After the house gradually fell into disrepair, the institute renovated the building in the 1990s. The house was added to the ', ' (NRHP) and was named a ', ' in 1978.\n', 'The mansion was designed in an eclectic ', ' by ', ' and built by ', ' Harvey Murdock. The building largely retains its original design, except for a ', ' on the roof. Gilbert and Murdock constructed the bulk of the house with brick, which was then faced with limestone ', '. The northern ', ' on 79th Street, containing the main entrance, is characterized by multiple windows in square recesses or semi-elliptical and fully ']"
Hoysala architecture,"['\n\n', ' is the building style in ', ' developed under the rule of the ', ' between the 11th and 14th centuries, in the region known today as ', ', a ', '. Hoysala influence was at its peak in the 13th century, when it dominated the ', ' Plateau region. Large and small temples built during this era remain as examples of the Hoysala architectural style, including the ', ' at ', ', the ', ' at ', ', and the ', ' at ', '.', ' Other examples of Hoysala craftsmanship are the temples at ', ', ', ', ', ', ', ', ', ', ', ', ', ' and ']"
Hoxne Hoard,"['\n\n', '\n', 'The ', ' (', ' ', ')', ' is the largest ', ' of late ', ' silver and gold discovered in Britain,', ' and the largest collection of gold and silver coins of the fourth and fifth centuries found anywhere within the ', '. It was found by Eric Lawes, a ', ' in the village of ', ' in ', ', England in 1992. The hoard consists of 14,865 ', ' and approximately 200 items of silver tableware and gold jewellery.', ' The objects are now in the ', ' in London, where the most important pieces and a selection of the rest are on permanent display. In 1993, the ', ' valued the hoard at ', '1.75 million (about £3.79\xa0million in 2021).', '\n', 'The hoard was buried in an oak box or small chest filled with items in precious metal, sorted mostly by type, with some in smaller wooden boxes and others in bags or wrapped in fabric. Remnants of the chest and fittings, such as hinges and locks, were recovered in the excavation. The coins of the hoard date it after AD 407, which coincides with the ']"
Harris Theater (Chicago),"['\n', 'The ', ' (also known as the ', ', the ', ' or, most commonly, the ', ') is a 1,499-seat ', ' for the ', ' located along the northern edge of ', ' on ', ' in the ', ' ', ' of ', ' in ', ', ', ', US. The theater, which is largely underground due to ', '-related height restrictions, was named for its primary benefactors, Joan and ', '.', "" It serves as the park's indoor performing venue, a complement to "", "", which hosts the park's outdoor performances.\n"", 'Constructed in 2002–2003, it provides a venue for small and medium-sized music and dance groups,', "" which had previously been without a permanent home and were underserved by the city's performing venue options. Among the regularly featured local groups are ""]"
Horncastle boar's head,"['\n\n', 'The ', ' is an early seventh-century ', ' ornament depicting a ', ' that probably was once part of the ', '. It was discovered in 2002 by a ', ' searching in the town of ', ', ', '. It was reported as ', ' and acquired for £15,000 by the ', ', where it is on permanent display.\n', 'The fragment is 40\xa0mm (1.6\xa0in) long and made of silver. Its elongated head is semi-naturalistic, depicting a crouching ', "" on either side of the skull, divided by a mane along the centre. The boar's eyes are formed from "", ', and its eyebrows, skull, mouth, tusks, and snout are ', '. Its head is hollow; in the space underneath, which was filled with soil and plant matter when found, are three rivets that would have attached it to a larger object, probably a helmet. The fragment would probably have formed the crest terminal of one of the ""crested helmets"" used in Northern Europe during the sixth through eleventh centuries.\n', ""The boar's head terminal is one of several representations of the animal on contemporaneous helmets. Boars surmount the "", ' and ', ' helmets, and form the ends of the eyebrows of the ', ' and perhaps ', ' helmets. These evidence a thousand-years-long tradition in ', ' associating boars with the deities, and protection. The Roman historian ']"
Honan Chapel,"['\n\n\n', 'The ', ' (', ': ', ',', ' formally ', ' and ', ') is a small Catholic church built in the Hiberno-', ' style on the grounds of ', ', Ireland. Designed in 1914, the building was completed in 1916 and furnished by 1917. Its architecture and fittings are representative of the ', ' movement and evoke the ', ' style prevalent in Ireland and Britain between the 7th and 12th centuries.', '\n', ""Its construction was initiated and supervised by the Dublin solicitor John O'Connell, a leading member of the Celtic Revival and "", ' movements. He was funded by Isabella Honan (1861–1913), the last member of a wealthy ', "" family, who made a significant donation towards the construction of the chapel. O'Connell oversaw both the design and the commissioning of its building and furnishings. He guided the architect James F. McMullen and the builders "", ', and the craftsmen and artists involved in its artwork.\n', 'The Honan Chapel is known for its interior which is designed and fitted in a traditional Irish style, but with an appreciation of contemporary trends in international art.', ' Its furnishings include a mosaic flooring, altar plate, metalwork and enamels, liturgical textiles and sanctuary furnishings, and especially its nineteen ', ' windows. Of these, fifteen depict Irish saints, the remainder show ', ',  ']"
Heian Palace,"['The ', ' was the original imperial palace of ', ' (present-day ', '), the capital of ', ', from 794 to 1227. The palace, which served as the imperial residence and the administrative centre of for most of the ', ' (from 794 to 1185), was located at the north-central location of the city in accordance with the ', ' models used for the design of the capital.\n', 'The palace consisted of a large rectangular walled enclosure (the ', '), which contained several ceremonial and administrative buildings including the government ministries. Inside this enclosure was the separately walled ', ' of the ', ' or the ', ' (', ""). In addition to the emperor's living quarters, the Inner Palace contained the residences of the imperial consorts, as well as certain official and ceremonial buildings more closely linked to the person of the emperor.\n"", 'The original role of the palace was to manifest the centralised government model adopted by Japan from China in the 7th century — the ', "" and its subsidiary Eight Ministries. The palace was designed to provide an appropriate setting for the emperor's residence, the conduct of great affairs of state, and the accompanying ceremonies. While the residential function of the palace continued until the 12th century, the facilities built for grand state ceremonies began to fall into disuse by the 9th century. This was due to both the abandonment of several statutory ceremonies and procedures and the transfer of several remaining ceremonies into the smaller-scale setting of the Inner Palace.\n"", 'From the mid-Heian period, the palace suffered several fires and other disasters. During reconstructions, emperors and some of the office functions resided outside the palace. This, along with the general loss of political power of the court, acted to further diminish the importance of the palace as the administrative centre. Finally in 1227 the palace burned down and was never rebuilt. The site was built over so that almost no trace of it remains. Knowledge of the palace is thus based on contemporary literary sources, surviving diagrams and paintings, and limited excavations conducted mainly since the late 1970s.\n', 'The palace was located at the northern centre of the rectangular ', ', following the Chinese model (specifically that of the ', ' capital of ', ') adopted already for the ', ' in the earlier capital ']"
House with Chimaeras,"[' or ', ' (', ': ', ', ', ') is an ', ' building located in the ', ' ', ' neighborhood of ', ', the capital of Ukraine. Situated across the street from the ', ""'s office at No. 10, "", ', the building has been used as a presidential residence for official and diplomatic ceremonies since 2005.', ' The street in front of the building is closed off to all automobile traffic, and is now a patrolled ', ' due to its near proximity to the ']"
